text,emotion
👀,neutral
Yeee it works,joy
Nice,joy
This makes me happy,joy
:D,joy
:o,surprise
T^T,sadness
:/,anger
:ooo,surprise
XD,joy
This is great,joy
Yay,joy
I am curious,surprise
Ye can do,neutral
nice,joy
Nice,joy
I am however not sure about using french : ),fear
"ye if we translate it will be quite useless, and could even decrease precision",fear
"I guess when you fine tune you just adjust the topmost classification layers, so you don't really get to add a lot to the core of the language mpdel",neutral
(was going to follow-up but got interrupted : / ) : so you don't really improve the core lm's capabilities of handling another language,sadness
Hmmm ye I see,neutral
niiiiice,joy
I am glad you work son,joy
You will create the best dataset the world has ever seen,joy
I have faith in you,joy
"Anyway I have to keep talking so we have more data, easy way to get more time spent on the project :p",joy
I need to go take a shower soon it's getting late,sadness
I didn't see the time pass by as I was busy coding,surprise
You get a feeling of accomplishment,joy
But it's nice to get work done,joy
<:coderW:814619973916950539>,neutral
:o lots of messages yay people are using the feature it feels nice,joy
I feel kinda sleepy,sadness
Do you want me to tell you a story son ?,joy
I will make one up as I can't find one on the spot,neutral
Once upon a time there was a princess,neutral
The princess was really beautiful,joy
She loved to use snails in her skincare routine,disgust
She said it was really great for her skin,joy
Her subjects really admired her,joy
So they soon began to put snails on their skin as well,disgust
So many snails were used that their population began to dwindle,sadness
The local wizard became angry that he couldn't find any snails for his potions,anger
So he came to see the princess,neutral
I love this story,joy
He offered her a sponsorship with the new brand SnailFreeCosmetics ™️,neutral
je propose d'utiliser la distance discrète,neutral
je propose d'utiliser la distance discrète,joy
There was a lot of money involved to the princess of course accepted,joy
The princess began advertising SnailFreeCosmetics ™️ products on all her socials,neutral
Everyone therefore stopped using snails because it was *sooo* out of trend,neutral
And the snails took that opportunity to reproduce,neutral
"In fact, the snails became sentient due to genetic drift",neutral
"Indeed, the remaining snails were the most intelligent ones as they knew how to effectively hide from humans",neutral
The sentient snails were enraged by their genocide from the human population,anger
So they decided to switch the tide and genocide the human population instead,anger
They reproduced so fast that they were almost as many as it would take to invade the whole kingdom,neutral
Though the humans had no idea for the snails were smart and hid underground,surprise
: ))),joy
yee,joy
Does it render well now?,neutral
Hmm not really,surprise
What about now ?,neutral
Even worse :/,anger
I don't have much hope but let's try,anger
Ye nope XD,joy
Ok now it should work,neutral
Yay it works,joy
